,Date,ID,Content,QuoteCount,Retweets
0,2023-01-27 23:57:45+00:00,1619122522989158400,@Mister_Ch0c Id calculate the NAV relative to the cvx wrappers instead of the value of the liquid tokens,0,0
1,2023-01-27 23:53:58+00:00,1619121568180998144,"Top tweeted stocks:
$TSLA $SPX $LCID $INTC $AMZN $V $SQ $AMD $META $AAPL $AXP $SHOP $BBBY $NVDA $COIN $BA $CVX $MSFT $PFE $MDB $URI $XOM $IBM $SBUX $AI $RIVN $SNOW $BABA $CAT $STLD $VUG $XM $KLAC $GALA $KWEB $ENS $TME $DADA $MOMO $ROKU $MRNA $NOW $NIO 

 #stockstowatch https://t.co/7tfzXEdpMQ",0,0
2,2023-01-27 23:53:34+00:00,1619121466171170819,"@DivGrowthIncome Despite the high PE I like $PEP right now, deals are getting harder to find with this rally. $CVX a few ticks down could work.",0,0
3,2023-01-27 23:53:30+00:00,1619121451747115008,$CVX maintaining discipline in the Permian. This could be a feature of the 2020s. #EFT,0,1
4,2023-01-27 23:48:38+00:00,1619120227664674816,"RSI(14)- 1 hour Over bought on BTC pairs:
🪶➖➖➖➖➖➖➖➖➖➖➖➖➖🪶

📌 $XMR-72 , $TWT-72 , $SNX-70 , $RUNE-72 , $CRV-70 , $GMX-71 , $CVX-75 , $ENS-75 , $KSM-72 , $ONE-71 , $HIVE-73 , $ZRX-70

📈Why these are overbought?
#RSI ⏰[01/27/2023, 23:48:35]",0,0
5,2023-01-27 23:38:09+00:00,1619117590135115776,"DOW 30 $DIA Top Losers during today  $INTC $CVX $TRV $MRK 
        
Learn more: https://t.co/RxtBiZL3zb https://t.co/fZeos8PNaU",0,0
6,2023-01-27 23:37:57+00:00,1619117538582863877,$CVX Open Interest =&gt; 45% (Puts) - 55% (Calls) @ 2023-01-27. Learn more at https://t.co/54bj3mKa5j. #CVXSTOCK #investing https://t.co/TP9NTfndNu,0,0
7,2023-01-27 23:35:18+00:00,1619116871432765440,"Last Trade #Signal    
    
$GALA    63.28%
$FIL    94.03%
$PEOPLE    77.11%
$DENT    6.47%
$OGN    7.93%
$LTC    70.74%
#TRX    12.62%
#LTC    86.28%
$LPT    60.26%
#CVX    73.31%
    
All Details on Bio  Total Profit   552.02%",0,0
8,2023-01-27 23:28:55+00:00,1619115264385363970,"TFUEL has grown X58 after his shill. If you're looking for alpha, you should follow him @BullCryptoPR 

$tusd $busd $egld $dai $frax $chz $hnt $hbtc $axs $steth $neo $cusdc $ceth $bit $dot $usdc $hbar $ada $crv $waves $cvx $usdt $cdai $grt $cake $omi $flow $theta $xcn $etc $lrc https://t.co/r9mm5AuB6r",0,0
9,2023-01-27 23:18:01+00:00,1619112522358968320,Short sale volume (not short interest) for $BP on 2023-01-26 is 53%. https://t.co/zxQT7oezJA $XOM 60% $CVX 49%,0,0
10,2023-01-27 23:15:22+00:00,1619111854390796288,$AMZN $AXP $CVX NEW ARTICLE : US Markets Wrap Up Strong Week With Gains https://t.co/d1qDr4GwKR Get all the latest $AMZN related news here : https://t.co/LlLESJ6Mlc https://t.co/KyIyEFNNw8,0,0
11,2023-01-27 23:14:50+00:00,1619111720248832000,Took my bent iPad to my Apple Store thought it was gonna repaired or some shit instead they gave me a new one for 49$ 😭,0,0
12,2023-01-27 23:14:39+00:00,1619111673801084928,"$CVX Guys, Don't miss the next move in a few hours&gt;.&gt;&gt;📉📈🚀 https://t.co/ahVOOv4Scb.",0,0
13,2023-01-27 23:14:31+00:00,1619111642939420672,Chevron $CVX settled -4.4% to $179.45. Earnings were broadly fine. https://t.co/LAbczMoJxx,0,1
14,2023-01-27 23:14:17+00:00,1619111582839242754,"[BOT] Smartmoney Swap Alert 🐳

    🔁Swap 2,929.282 $CVX ($15,906) to 248.069 $ILV ($15,901.228) on https://t.co/UtsF105fPn

    🎯Slippage: 0.03%
    🎯Fee: 0.6 $
    Platform: https://t.co/ZeBBU3nkpZ 
    Blockchain: #ethereum 
    #ConvexFinance #Illuvium",0,0
15,2023-01-27 23:12:57+00:00,1619111247764676608,$CVX vs. $PBR: what is the best stock to add to your portfolio? #Chevron https://t.co/Olp1lwNvx8 https://t.co/hJCBHNpmgf,0,0
16,2023-01-27 23:12:41+00:00,1619111178122448897,"Key Takeaways for 01/27/2023!

🟩 Dow Jones rises 25 points $DJI

🟩 S&amp;P 500 rises 0.25% $SPX

- @Chevron in Q4’22 fell short on EPS, beat on revenue $CVX

- @HouseGOP passed ‘Strategic Production Response Act’ bill to cut down on @POTUS @JoeBiden using the SPR https://t.co/1bXRhjoNrj",0,0
17,2023-01-27 23:10:09+00:00,1619110543662653440,$AMZN $AXP $CVX $HAS $INTC $LHX $RHI $TSLA $V - US Markets Wrap Up Strong Week With Gains https://t.co/7SLI2NepLO,0,0
18,2023-01-27 23:05:37+00:00,1619109403143151617,$AMZN $AXP $CVX NEW ARTICLE : US Markets Wrap Up Strong Week With Gains https://t.co/d1qDr4GwKR Get all the latest $AMZN related news here : https://t.co/LlLESJ6Mlc https://t.co/H3z6Vne6Ys,0,0
19,2023-01-27 23:05:27+00:00,1619109361292288002,"Markets trended up most of the day but slid into the Friday close 🔔 

- $TSLA surged 11%, now up over 44% since the beginning of the year
- $ABNB extended its rally with a 5.96% move 
- $CVX dropped -4.44%, after missing on earnings pre-market https://t.co/YidPQwJwW0",0,0
20,2023-01-27 23:05:08+00:00,1619109279658811392,@1991Wolfpack @OptionsMike Great call here.  I bet 99.99% of people didn’t see $CVX with a miss this morning,0,0
